ngram,qty
mi_corazon,1
corazon_oprimido,1
oprimido_siente,1
siente_junto,1
junto_a,1
a_la,1
la_alborada,1
alborada_el,1
el_dolor,1
dolor_de,1
de_sus,1
sus_amores,1
amores_y,1
y_el,1
el_sueno,1
sueno_de,1
de_las,1
las_distancias,1
distancias_la,1
la_luz,1
luz_de,1
de_la,4
la_aurora,2
aurora_lleva,1
lleva_semilleros,1
semilleros_de,1
de_nostalgias,1
nostalgias_y,1
y_la,1
la_tristeza,1
tristeza_sin,1
sin_ojos,1
ojos_de,1
la_medula,1
medula_del,1
del_alma,1
alma_la,1
la_gran,1
gran_tumba,1
tumba_de,1
la_noche,1
noche_su,1
su_negro,1
negro_velo,1
velo_levanta,1
levanta_para,1
para_ocultar,1
ocultar_con,1
con_el,1
el_dia,1
dia_la,1
la_inmensa,1
inmensa_cumbre,1
cumbre_estrellada,1
estrellada_que,1
que_hare,2
hare_yo,1
yo_sobre,1
sobre_estos,1
estos_campos,1
campos_cogiendo,1
cogiendo_nidos,1
nidos_y,1
y_ramas,1
ramas_rodeado,1
rodeado_de,1
aurora_y,1
y_llena,1
llena_de,1
de_noche,1
noche_el,1
el_alma,1
alma_que,1
hare_si,1
si_tienes,1
tienes_tus,1
tus_ojos,1
ojos_muertos,1
muertos_a,1
a_las,1
las_luces,1
luces_claras,1
claras_y,1
y_no,1
no_ha,1
ha_de,1
de_sentir,1
sentir_mi,1
mi_carne,1
carne_el,1
el_calor,1
calor_de,1
de_tus,1
tus_miradas,1
miradas_por,1
por_que,1
que_te,1
te_perdi,1
perdi_por,1
por_siempre,1
siempre_en,1
en_aquella,1
aquella_tarde,1
tarde_clara,1
clara_hoy,1
hoy_mi,1
mi_pecho,1
pecho_esta,1
esta_reseco,1
reseco_como,1
como_una,1
una_estrella,1
estrella_apagada,1
